Temperature ,Precipitation
24.95,2.34
25.36,1.48
26.74,1.26
25.23,1.99
25.16,2.61
25.41,2.82
25.36,1.59
27.19,0.93
26.03,5.1
25.57,4.2
25.41,1.32
26.26,0.83
25.88,2.28
25.71,3.06
25.72,2.08
25.19,5.68
24.89,2.67
26.21,1.51
26.19,6.51
25.68,2.14
26.21,3.78
25.24,2.17
25.66,3.7
25.71,1.92
25.84,1.88
25.75,3.53
25.77,6.04
25.67,6.81
25.49,2.38
25.89,3.13
25.49,12.22
26.17,5.87
25.63,5.16
24.8,7.67
25.45,4.16
26.61,3.33
25.91,9.76
26.29,9.92
25.4,7.39
26.39,2.11
26.23,6.94
25.73,3.63
25.75,9.93
26.52,1.98
26,0.78
25.27,2.76
27.13,0.21
25.17,3.39
26.3,1.24
25.23,1.19
25.56,0.98
27.25,1.26
25.41,3.55
26.45,0.45
26.2,2.76
26.54,0.29
26.02,2.84
26.08,1.25
26.43,0.54
25.18,4.95
25.43,3.73
27.14,0.4
25.54,5.03
26.02,6.53
26.23,4.08
25.48,1.64
25.58,2.55
25.92,1.73
26.54,0.88
25.82,5.11
25.76,0.75
25.79,5.02
26.06,5.96
26.48,0.56
25.82,3.74
25.97,7.73
26.09,5.88
25.36,2.06
25.27,2
26.67,2.61
25.35,2.35
26.21,8.08
25.08,4.8
25.75,5.54
26.14,7.32
26.14,4.05
26.15,6.02
26.66,1.93
27.33,0.53
26.98,0.42
27.94,0.22
26.63,1.59
27.5,0.96
26.24,1.27
27.24,0.31
28.16,0.71
26,2.77
27.33,0.52
26.57,1.73
27.5,0.26
26.64,2.3
27.28,2.09
26.84,3.17
26.18,1.86
26.01,1.37
27.77,0.36
26.87,3.69
26.66,4.69
26.61,3.39
26.6,2.39
27.17,0.57
27.19,2.71
27.22,1.59
26.52,2.7
27,0.54
26.27,4.79
26.82,1.88
27.95,0.52
26.09,8.48
26.27,5.18
26.93,1.02
26.3,4.29
26.64,0.85
27.81,0.17
26.3,3.25
26.6,2.65
25.93,5.6
27.08,1.27
26.86,3.41
26.87,4.04
26.25,1.4
27.93,0.55
29.12,0.82
28.92,0.18
28.83,0.26
27.73,4.32
28.43,1.81
27.71,1.52
29,0.19
28.95,1.54
27.53,1.58
28.73,1.34
28.07,1.64
29.09,0.34
28.02,0.67
27.71,5.79
27.91,2.49
27.09,6.25
28.2,1.05
28.73,0.21
27.08,4.98
27.62,1.89
28.27,2.07
28.41,1.02
29.27,0.6
28.89,0.87
28.4,1.29
27.93,1.26
28.53,0.71
27.01,4.77
27.76,4.98
28.84,1.18
26.42,1.2
27.33,2.11
28.99,0.78
27.55,2.7
28.53,1.12
29.57,0.41
27.45,6.4
27.64,3.19
27.1,6.48
28.81,0.65
27.48,2.6
26.91,12.38
28.07,1.38
29.66,0.28
29.51,1.06
29.21,1.58
29.93,0.12
27.93,2.77
28.33,2.36
29.39,0.7
29.77,0.27
29.14,2.76
27.89,6.02
28.1,5.6
28.65,2.59
29.82,0.59
29.23,0.4
28.88,3.48
28.71,1.08
27.81,3
28.4,5.29
29.42,1.54
27.58,5.96
28.33,3.86
28.35,5.18
29.09,1.85
28.73,3.37
28.23,5.05
29.47,1.43
28.02,4.6
28.88,4.83
27.01,10.09
27.53,5.19
29.87,0.93
27.42,5.76
28.21,3.59
29.32,4.08
29.16,2.16
30.33,0.35
29.48,4.39
28.39,3.66
28.63,3.54
28.83,5.92
29.55,5.35
28.42,4.46
27.69,4.29
28.78,5.71
